id,url,seen,,
8607474,http://www.car.gr/8607474-ford-fiesta,yes,,
8504728,http://www.car.gr/8504728-ford-fiesta-1200,no,hrakleio,2nd choice
7552076,http://www.car.gr/7552076-ford-fiesta,yes,,
8470907,http://www.car.gr/8470907-ford-fiesta-1400-5,no,,
8518102,http://www.car.gr/8518102-ford-fiesta-tdsi,yes,,
8544969,http://www.car.gr/8544969-ford-fiesta-1-4-tdci,yes,,
8377965,http://www.car.gr/8377965-ford-fiesta-s,yes,,
7850576,http://www.car.gr/7850576-ford-fiesta,no,,
8346526,http://www.car.gr/8346526-ford-fiesta-aerio-gas,yes,,
8571114,http://www.car.gr/8571114-ford-fiesta,yes,,
8567116,http://www.car.gr/8567116-ford-fiesta,no,kalo xania,
8567120,http://www.car.gr/8567120-ford-fiesta,no,xania exei k alla,
5133366,http://www.car.gr/5133366-ford-fiesta,no,xania exei k alla,
8644692,http://www.car.gr/8644692-ford-fiesta-van,yes,,
6569024,http://www.car.gr/6569024-fiat-punto-multijet-diesel-van,yes,,
7499273,http://www.car.gr/7499273-fiat-punto,yes,,
8537953,http://www.car.gr/8537953-fiat-punto-sporting,yes,,
8515991,http://www.car.gr/8515991-fiat-punto,yes,,
8599889,http://www.car.gr/8599889-fiat-punto-sporting-6-16v-95-hp,yes,,
4491140,http://www.car.gr/4491140-fiat-punto-active-1-2-5d,yes,,
8457502,http://www.car.gr/8457502-fiat-punto-multijet-1300-turbo-diesel,yes,,
8607939,http://www.car.gr/8607939-fiat-punto,yes,,
8385449,http://www.car.gr/8385449-ford-fiesta,yes,,
8552142,http://www.car.gr/8552142-ford-fiesta-ebony-sport,yes,,
8122546,http://www.car.gr/8122546-ford-fiesta,yes,,
8380853,http://www.car.gr/8380853-ford-fiesta-1,yes,,
8493717,http://www.car.gr/8493717-fiat-punto-1-3mjt-diesel,yes,,
6524937,http://www.car.gr/6524937-fiat-punto-1242cc-abs-a-c-city,yes,,
8644123,http://www.car.gr/8644123-fiat-punto-2007,no,kalo athina,
8407212,http://www.car.gr/8407212-fiat-punto-3-door-active-p-s-abs-a-c,yes,,
8636950,http://www.car.gr/8636950-fiat-punto,yes,,
8409221,http://www.car.gr/8409221-fiat-punto-1-2-active-3d-abs-p-s,yes,,
8636975,http://www.car.gr/8636975-fiat-punto,yes,,
8577597,http://www.car.gr/8577597-ford-fiesta-5-door-1-4-ambiente,yes,,
8577522,http://www.car.gr/8577522-ford-fiesta-5-door-1-4-ambiente,no,kalo athina,
8318419,http://www.car.gr/8318419-ford-fiesta,yes,,
8357988,http://www.car.gr/8357988-ford-fiesta-ebony,yes,,
8514313,http://www.car.gr/8514313-fiat-punto-pazaropoulos,yes,,
8579979,http://www.car.gr/8579979-fiat-punto,yes,,
8452519,http://www.car.gr/8452519-fiat-punto-evo-van-diesel-1-3-multijet,yes,,
7858103,http://www.car.gr/7858103-fiat-punto,yes,,
8628471,http://www.car.gr/8628471-fiat-punto-diesel-1-3-multijet,yes,,
8152098,http://www.car.gr/8152098-fiat-punto-van-e,yes,,
8589329,http://www.car.gr/8589329-fiat-punto,yes,,
7338787,http://www.car.gr/7338787-fiat-punto,yes,,
8150448,http://www.car.gr/8150448-fiat-punto-diesel-1-3,yes,,
8232417,http://www.car.gr/8232417-fiat-punto-grande-multijet-6,yes,,
7539855,http://www.car.gr/7539855-fiat-punto-1242cc-a-c-city-diezel,yes,,
8429460,http://www.car.gr/8429460-fiat-punto,yes,,
8357759,http://www.car.gr/8357759-fiat-punto-1-3-multijet-a-c-2007,yes,,
7999223,http://www.car.gr/7999223-fiat-punto-grande-punto-1-4-16v,yes,,
8518423,http://www.car.gr/8518423-ford-fiesta,no,,
8328392,http://www.car.gr/8328392-fiat-punto-punto-1242cc-crande,yes,,
8599970,http://www.car.gr/8599970-ford-fiesta,no,kalo athina,
8251581,http://www.car.gr/8251581-ford-fiesta-st,yes,,
8112252,http://www.car.gr/8112252-ford-fiesta,yes,,
6523633,http://www.car.gr/6523633-ford-fiesta,yes,,
8599559,http://www.car.gr/8599559-ford-fiesta,yes,,
8505717,http://www.car.gr/8505717-ford-fiesta-st,yes,,
8398304,http://www.car.gr/8398304-ford-fiesta,yes,,
7661430,http://www.car.gr/7661430-ford-fiesta,yes,,
8604869,http://www.car.gr/8604869-ford-fiesta-1250cc-16v-80ps,no,kalo athina,
7539850,http://www.car.gr/7539850-ford-fiesta-1-25-ambiente-5d,yes,,
8571599,http://www.car.gr/8571599-ford-fiesta-copacar,yes,,
8526630,http://www.car.gr/8526630-ford-fiesta,yes,,
8565677,http://www.car.gr/8565677-ford-fiesta-ebony-sport,yes,,
8148490,http://www.car.gr/8148490-ford-fiesta-1-4-5dr,yes,,
8525534,http://www.car.gr/8525534-fiat-punto-evo-3-service,yes,,
8501362,http://www.car.gr/8501362-ford-fiesta,yes,,
8385209,http://www.car.gr/8385209-ford-fiesta-1-2-5d,yes,,
8465988,http://www.car.gr/8465988-ford-fiesta-st,yes,,
8465980,http://www.car.gr/8465980-ford-fiesta-st-150-ps,yes,,
7152356,http://www.car.gr/7152356-ford-fiesta-ambiente-5d,yes,,
8377963,http://www.car.gr/8377963-ford-fiesta-1-4tdci-diesel-klima,yes,,
8591066,http://www.car.gr/8591066-ford-fiesta-1-6-3,yes,,
8308235,http://www.car.gr/8308235-ford-fiesta-s,yes,,
8534620,http://www.car.gr/8534620-fiat-punto-evo-emotion-3-service,yes,,
8556912,http://www.car.gr/8556912-fiat-punto-evo-dynamic-3-service,yes,,
7677850,http://www.car.gr/7677850-ford-fiesta-1-6-16v-100hp-5d,yes,,
6371032,http://www.car.gr/6371032-fiat-punto-diesel-sporting-autokantzavelo,yes,,
8499636,http://www.car.gr/8499636-fiat-punto-evo-3-service,yes,,
8642487,http://www.car.gr/8642487-fiat-punto-evo-3-service,yes,,
